Species,Species.code
Achillea millefolium,Ach.mil
Aconitum lycococtum,Aco.lyc
Aconitum septentrionale,Aco.sep
Agrostis capillaris,Agr.cap
Agrostis mertensii,Agr.mer
Ajuga pyramidalis,Aju.pyr
Alchemilla alpina,Alc.alp
Alchemilla sp,Alc.sp
Alopecurus pratensis,Alo.pra
Anemone nemorosa,Ane.nem
Antennaria alpina,Ant.alp
Antennaria dioica,Ant.dio
Anthoxanthum odoratum,Ant.odo
Anthriscus sylvestris,Ant.syl
Arabis alpina,Ara.alp
Arabis hirsuta,Ara.hir
Arctous alpinus,Arc.alp
Arrhenatherum elatius,Arr.ela
Astragalus alpinus,Ast.alp
Astragalus sp,Ast.sp
Avenella flexuosa,Ave.fle
Avenula pubescens,Ave.pub
Bartsia alpina,Bar.alp
Betula nana,Bet.nan
Betula pubescens,Bet.pub
Betula sp,Bet.sp
Bistorta vivipara,Bis.viv
Botrychium lunaria,Bot.lun
Calluna vulgaris,Cal.vul
Caltha palustris,Cal.pal
Campanula rotundifolia,Cam.rot
Cardamine pratensis,Car.pra
Carex atrata,Car.atr
Carex bigelowii,Car.big
Carex capillaris,Car.cap
Carex dioica,Car.dio
Carex echinata,Car.ech
Carex flava,Car.fla
Carex leporina,Car.lep
Carex nigra,Car.nig
Carex norvegica,Car.nor
Carex pallescens,Car.pal
Carex panicea,Car.pan
Carex pilulifera,Car.pil
Carex pulicaris,Car.pul
Carex rupestris,Car.rup
Carex saxatilis,Car.sax
Carex sp,Car.sp
Carex vaginata,Car.vag
Carum carvi,Caru.car
Cerastium alpinum,Cer.alp
Cerastium cerastoides,Cer.cer
Cerastium fontanum,Cer.fon
Cerastium glabratum,Cer.gla
Cerastium sp,Cer.sp
Cirsium palustre,Cir.pal
Cirsium vulgare,Cir.vul
Coeloglossum viride,Coe.vir
Comastoma tenellum,Com.ten
Conopodium majus,Con.maj
Cornus suecica,Cor.sue
Dactylis glomerata,Dac.glo
Danthonia decumbens,Dan.dec
Deschampsia alpina,Des.alp
Deschampsia cespitosa,Des.ces
Dianthus deltoides,Dia.del
Dryas octopetala,Dry.oct
Dryopteris sp,Dry.sp
Empetrum hermaphroditum,Emp.her
Epilobium angustifolium,Epi.ang
Epilobium sp,Epi.sp
Erigeron acer,Eri.ace
Erigeron uniflorus,Eri.uni
Euphrasia sp,Eup.sp
Festuca ovina,Fes.ovi
Festuca rubra,Fes.rub
Festuca sp,Fes.sp
Festuca vivipara,Fes.viv
Filipendula ulmaria,Fil.ulm
Fragaria vesca,Fra.ves
Galeopsis bifida,Gal.bif
Galium boreale,Gal.bor
Galium saxatile,Gal.sax
