"","siteID","blockID","destinationPlotID","originPlotID","turfID","TTtreat","Year","Temperature_level","Precipitation_level","id"
"1","Alrust","Alr1",28,1,"1 TT2 28","TT2",2009,2,1,"1 TT2 28_2009"
"2","Alrust","Alr1",28,1,"1 TT2 28","TT2",2011,2,1,"1 TT2 28_2011"
"3","Alrust","Alr1",28,1,"1 TT2 28","TT2",2012,2,1,"1 TT2 28_2012"
"4","Alrust","Alr1",28,1,"1 TT2 28","TT2",2013,2,1,"1 TT2 28_2013"
"5","Alrust","Alr1",28,1,"1 TT2 28","TT2",2015,2,1,"1 TT2 28_2015"
"6","Ulvhaugen","Ulv2",7,10,"10 TT1 7","TT1",2009,1,1,"10 TT1 7_2009"
"7","Ulvhaugen","Ulv2",7,10,"10 TT1 7","TT1",2011,1,1,"10 TT1 7_2011"
"8","Ulvhaugen","Ulv2",7,10,"10 TT1 7","TT1",2012,1,1,"10 TT1 7_2012"
"9","Ulvhaugen","Ulv2",7,10,"10 TT1 7","TT1",2013,1,1,"10 TT1 7_2013"
"10","Rambera","Ram9",522,100,"100 TT4 522","TT4",2009,2,3,"100 TT4 522_2009"
"11","Rambera","Ram9",522,100,"100 TT4 522","TT4",2011,2,3,"100 TT4 522_2011"
"12","Rambera","Ram9",522,100,"100 TT4 522","TT4",2012,2,3,"100 TT4 522_2012"
"13","Rambera","Ram9",522,100,"100 TT4 522","TT4",2013,2,3,"100 TT4 522_2013"
"14","Rambera","Ram9",522,100,"100 TT4 522","TT4",2015,2,3,"100 TT4 522_2015"
"15","Hogsete","Hog1",101,101,"101 TTC","TTC",2009,2,2,"101 TTC_2009"
"16","Hogsete","Hog1",101,101,"101 TTC","TTC",2011,2,2,"101 TTC_2011"
"17","Hogsete","Hog1",101,101,"101 TTC","TTC",2012,2,2,"101 TTC_2012"
"18","Hogsete","Hog1",101,101,"101 TTC","TTC",2013,2,2,"101 TTC_2013"
"19","Hogsete","Hog1",101,101,"101 TTC","TTC",2015,2,2,"101 TTC_2015"
"20","Hogsete","Hog1",101,101,"101 TTC","TTC",2016,2,2,"101 TTC_2016"
"21","Rambera","Ram9",524,102,"102 TT3 524","TT3",2009,2,3,"102 TT3 524_2009"
"22","Rambera","Ram9",524,102,"102 TT3 524","TT3",2011,2,3,"102 TT3 524_2011"
"23","Rambera","Ram9",524,102,"102 TT3 524","TT3",2012,2,3,"102 TT3 524_2012"
"24","Rambera","Ram9",524,102,"102 TT3 524","TT3",2013,2,3,"102 TT3 524_2013"
"25","Rambera","Ram9",524,102,"102 TT3 524","TT3",2015,2,3,"102 TT3 524_2015"
"26","Vikesland","Vik1",128,103,"103 TT2 128","TT2",2009,3,2,"103 TT2 128_2009"
"27","Vikesland","Vik1",128,103,"103 TT2 128","TT2",2011,3,2,"103 TT2 128_2011"
"28","Vikesland","Vik1",128,103,"103 TT2 128","TT2",2012,3,2,"103 TT2 128_2012"
"29","Vikesland","Vik1",128,103,"103 TT2 128","TT2",2013,3,2,"103 TT2 128_2013"
"30","Vikesland","Vik1",128,103,"103 TT2 128","TT2",2015,3,2,"103 TT2 128_2015"
"31","Hogsete","Hog1",102,104,"104 TT1 102","TT1",2009,2,2,"104 TT1 102_2009"
