"sp","leaf.area","max.height","seed.mass","sla","conper","offs","lat","buds"
"Ach.mil",2.69970088565713,-0.221848749616356,-0.888849547877333,1.25975362873354,1,1,1,5
"Aco.sep",NA,NA,0.559140250985862,NA,1,0,0,5
"Agr.cap",2.37884431935273,-0.0969100130080564,-1.22184874961636,1.44647841158322,1,0,1,5
"Agr.mer",1.78758443975152,-0.522878745280338,-0.899844932178796,1.39093510710338,1,0,0,5
"Aju.pyr",2.8767949762007,-0.602059991327962,0.186108379813205,1.23854788768133,1,0,0,4
"Alc.alp",2.57618321705892,-0.698970004336019,-0.540942745358073,1.15088264683801,1,0,0,4
"Alo.pra",3.03667878846141,NA,-0.184865183363186,1.39854759573493,1,0,0,5
"Ane.nem",3.47755533219898,-0.522878745280338,0.330782600956839,1.43775056282039,1,0,1,2
"Ant.alp",NA,NA,NA,NA,NA,NA,NA,NA
"Ant.dio",1.64579548428674,-0.602059991327962,-1.30102999566398,1.34680819097439,1,1,1,5
"Ant.odo",2.44897593152754,-0.455931955649724,-0.311348079756135,1.44691782854322,1,1,0,5
"Ara.alp",NA,NA,-0.795880017344075,1.4201208480857,1,1,1,4
"Ara.hir",2.57287160220048,NA,-1.03476210625921,1.44870631990508,1,1,1,5
"Arc.alp",2.13965873620818,-1.30102999566398,0.380211241711606,1.06430820668296,NA,NA,NA,NA
"Ast.alp",2.70046978109296,-0.698970004336019,NA,1.38928808421021,1,0,1,4
"Ave.fle",1.88671707943854,-0.154901959985743,-0.507503883713383,1.15962407778918,1,1,1,5
"Ave.pub",2.93196611472817,0.0791812460476248,0.283753383332527,1.31685062992605,1,0,1,5
"Bar.alp",2.42447327319533,-0.522878745280338,-0.481486060122113,1.24446267708832,1,0,1,5
"Bis.viv",2.47661159039428,-0.522878745280338,0.261720261654049,1.27543164495319,NA,NA,NA,NA
"Bot.lun",2.62428209583567,-0.823908740944319,NA,1.32633586092875,1,0,0,1
"Cal.vul",-0.0109953843014631,-0.301029995663981,-1.61181982861712,1.06940907067179,1,1,1,8
"Cam.rot",1.75810577477611,-0.301029995663981,-1.20660878305962,1.32857957348784,1,0,1,5
"Car.atr",2.67739401107273,-0.221848749616356,-0.207608310501746,1.31806333496276,1,0,0,2
"Car.big",2.36156367363561,-0.397940008672038,-0.206830701552902,1.21231804982323,1,0,1,4
"Car.cap",1.96402016357252,-0.602059991327962,-0.248500944387797,1.39468535758694,1,0,0,4
"Car.dio",1.53419538864721,-0.522878745280338,-0.262277406671965,1.09644651831956,1,0,0,3
"Car.ech",2.3384564936046,-0.522878745280338,-0.129389566470158,1.17541516387336,1,1,0,3
"Car.fla",2.36543872001853,-0.301029995663981,-0.0671881313883679,1.31290199534945,1,1,0,5
"Car.lep",2.55292968728384,-0.301029995663981,-0.207608310501746,1.35443794030409,1,0,0,4
"Car.nig",2.42043986277792,-0.301029995663981,-0.131649500352032,1.3332958130203,1,0,1,3
"Car.nor",2.34776165537021,-0.397940008672038,-0.454978509642402,1.21674594486428,1,0,0,3
"Car.pal",2.66573709474561,-0.221848749616356,0.0963305673158228,1.39618783632681,1,1,0,5
"Car.pan",2.31042352000698,-0.301029995663981,0.368950639397685,1.25453347248294,1,1,0,3
"Car.pil",2.27037017947029,-0.397940008672038,0.088529828058349,1.33494672185743,1,1,0,3
"Car.pul",2.13830269816628,-0.698970004336019,0.168301014629429,0.969415912353981,1,0,0,4
"Car.rup",1.4920616045126,-0.698970004336019,NA,1.07881918309885,1,0,0,4
"Car.sax",2.55148437641026,-0.397940008672038,-0.102067605019022,1.07506008411967,1,0,1,3
"Car.vag",2.6692145721717,-0.301029995663981,0.480964593801423,1.2881636386735,1,1,0,4
"Caru.car",3.09861950154487,-0.301029995663981,0.284054558436069,1.40790054014263,NA,NA,NA,4
"Cer.alp",1.6098077693287,-0.698970004336019,-0.563307402335946,1.50697830424642,1,0,0,4
"Cer.cer",1.15136985024746,-1,-0.829738284605043,1.39488925716742,1,0,1,5
"Cer.fon",2.26147698862137,-0.397940008672038,-0.847711655616944,1.43752407286381,1,0,0,3
"Cir.pal",NA,NA,0.193124598354462,1.2577385561526,0,0,0,4
"Coe.vir",2.62531245096167,-0.522878745280338,NA,1.33745926129066,0,0,0,2
"Com.ten",NA,-1,NA,NA,NA,NA,NA,NA
"Dac.glo",3.37602717194679,0.0791812460476248,-0.0427519804209499,1.31169412379094,1,1,0,5
"Dan.dec",2.57749179983723,-0.397940008672038,0.162564406523019,1.22897749431206,1,1,0,5
"Des.alp",NA,-0.301029995663981,NA,NA,NA,NA,NA,NA
"Des.ces",2.63628458468347,0,-0.677780705266081,1.16356138200343,1,1,0,5
"Dia.del",1.43138069538769,-0.602059991327962,-0.70293619155362,1.31122044457488,1,1,1,5
"Dry.oct",2.33945144130644,-1,-0.134698573897456,1.00853934194434,1,1,1,5
"Emp.her",1.03842144564246,-0.698970004336019,0.0146174542524837,0.924161766244656,NA,NA,NA,NA
"Epi.sp",1.96743798470184,-0.823908740944319,-1.23099212905623,1.39083564108613,NA,NA,NA,NA
"Eri.uni",NA,-0.823908740944319,-0.644612342013426,1.27207378750001,1,0,0,4
"Eup.sp",1.56845987647799,NA,-0.604382427246994,1.4931376674474,NA,NA,NA,NA
"Fes.ovi",1.71345484043597,-0.397940008672038,-0.361894904487398,1.1556332948054,1,0,0,3
"Fes.rub",2.1272882126627,-0.154901959985743,-0.0430087821325242,1.19950074854932,1,1,0,5
"Fes.viv",1.62354905691839,-0.522878745280338,NA,1.04139268515823,NA,NA,NA,NA
"Fil.ulm",NA,0.176091259055681,-0.126596351146983,1.38558074113222,1,0,1,5
"Fra.ves",3.37903343181797,-0.698970004336019,-0.499813441211644,1.36492603378998,1,0,0,5
"Gal.bor",1.69024039353112,-0.397940008672038,-0.152427340857888,1.28802553538836,1,1,1,5
