"site","stage","sp","id","abun"
"Alr","bank","Ach.mil","Persistent",1
"Alr","bank","Agr.cap","Persistent",377
"Alr","bank","Ant.odo","Persistent",1
"Alr","bank","Ave.fle","Transient",2
"Alr","bank","Bis.viv","Persistent",1
"Alr","bank","Cal.vul","Transient",1
"Alr","bank","Cam.rot","Persistent",4
"Alr","bank","Cer.fon","Persistent",112
"Alr","bank","Dia.del","Persistent",93
"Alr","bank","Epi.sp","Transient",30
"Alr","bank","Eri.uni","Transient",1
"Alr","bank","Fes.rub","Persistent",1
"Alr","bank","Hie.pil","Persistent",14
"Alr","bank","Hie.vul","Transient",1
"Alr","bank","Lot.cor","Persistent",3
"Alr","bank","Luz.mul","Persistent",2
"Alr","bank","Luz.pil","Transient",2
"Alr","bank","Oma.nor","Transient",11
"Alr","bank","Oma.syl","Transient",3
"Alr","bank","Oxa.ace","Transient",1
"Alr","bank","Pla.maj","Transient",4
"Alr","bank","Poa.pra","Persistent",44
"Alr","bank","Pot.ere","Persistent",1
"Alr","bank","Pru.vul","Persistent",142
"Alr","bank","Rhi.min","Persistent",2
"Alr","bank","Rum.ace","Persistent",86
"Alr","bank","Rum.acl","Persistent",371
"Alr","bank","Sag.sp","Transient",476
"Alr","bank","Sed.ann","Transient",21
"Alr","bank","Sil.vul","Persistent",9
"Alr","bank","sp","Persistent",5
"Alr","bank","Ste.med","Transient",4
"Alr","bank","Tar.sp","Persistent",7
"Alr","bank","Tri.pra","Persistent",1
"Alr","bank","Tri.rep","Persistent",48
"Alr","bank","Urt.dio","Transient",2
"Alr","bank","Ver.off","Persistent",42
"Alr","bank","Ver.ser","Persistent",1497
"Alr","bank","Vio.bif","Transient",4
"Alr","bank","Vio.pal","Transient",10
"Alr","bank","Vio.riv","Persistent",90
"Alr","bank","Vio.tri","Persistent",161
"Alr","bank","Vis.vul","Transient",10
"Alr","est","Agr.cap","Persistent",2
"Alr","est","Bis.viv","Persistent",1
"Alr","est","Cam.rot","Persistent",8
"Alr","est","Cer.fon","Persistent",2
"Alr","est","Dia.del","Persistent",3
"Alr","est","Eup.sp","Persistent",1
"Alr","est","Hie.pil","Persistent",1
"Alr","est","Kna.arv","Persistent",2
"Alr","est","Leo.aut","Persistent",7
"Alr","est","Leu.vul","Persistent",2
"Alr","est","Lot.cor","Persistent",3
"Alr","est","Pru.vul","Persistent",9
"Alr","est","Rum.ace","Persistent",2
"Alr","est","Rum.acl","Persistent",24
"Alr","est","sp","Persistent",9
"Alr","est","Tri.rep","Persistent",4
"Alr","est","Ver.ser","Persistent",21
"Alr","est","Vio.riv","Persistent",11
"Alr","est","Vio.tri","Persistent",3
"Alr","est","Vis.vul","Transient",3
"Alr","germ","Agr.cap","Persistent",3
"Alr","germ","Bis.viv","Persistent",3
"Alr","germ","Cam.rot","Persistent",9
"Alr","germ","Cer.fon","Persistent",7
"Alr","germ","Dia.del","Persistent",4
"Alr","germ","Eup.sp","Persistent",1
"Alr","germ","Hie.pil","Persistent",2
"Alr","germ","Kna.arv","Persistent",2
"Alr","germ","Leo.aut","Persistent",9
"Alr","germ","Leu.vul","Persistent",2
"Alr","germ","Lot.cor","Persistent",5
"Alr","germ","Pru.vul","Persistent",14
"Alr","germ","Rum.ace","Persistent",6
"Alr","germ","Rum.acl","Persistent",34
"Alr","germ","sp","Persistent",36
"Alr","germ","Tri.rep","Persistent",7
"Alr","germ","Ver.off","Persistent",3
"Alr","germ","Ver.ser","Persistent",31
"Alr","germ","Vio.riv","Persistent",14
"Alr","germ","Vio.tri","Persistent",9
"Alr","germ","Vis.vul","Transient",4
"Alr","mature","Ach.mil","Persistent",126
"Alr","mature","Agr.cap","Persistent",1619
"Alr","mature","Alc.alp","Persistent",14
"Alr","mature","Ant.odo","Persistent",39
"Alr","mature","Bis.viv","Persistent",166
"Alr","mature","Cam.rot","Persistent",38
"Alr","mature","Car.pal","Transient",8
"Alr","mature","Car.pil","Transient",2
"Alr","mature","Caru.car","Transient",8
"Alr","mature","Cer.fon","Persistent",13
"Alr","mature","Des.ces","Persistent",17
"Alr","mature","Dia.del","Persistent",28
"Alr","mature","Eup.sp","Persistent",9
"Alr","mature","Fes.ovi","Transient",1
"Alr","mature","Fes.rub","Persistent",148
"Alr","mature","Gen.ama","Persistent",8
"Alr","mature","Ger.syl","Transient",3
"Alr","mature","Hie.pil","Persistent",591
"Alr","mature","Hie.vul","Transient",2
"Alr","mature","Hype.mac","Persistent",123
"Alr","mature","Kna.arv","Persistent",82
"Alr","mature","Leo.aut","Persistent",110
"Alr","mature","Leu.vul","Persistent",48
"Alr","mature","Lot.cor","Persistent",251
"Alr","mature","Luz.mul","Persistent",4
"Alr","mature","Mel.pra","Transient",2
"Alr","mature","Nar.str","Persistent",33
"Alr","mature","Noc.cae","Transient",2
"Alr","mature","Phl.alp","Persistent",8
"Alr","mature","Pla.med","Persistent",36
"Alr","mature","Poa.alp","Persistent",27
"Alr","mature","Poa.pra","Persistent",21
"Alr","mature","Pot.ere","Persistent",37
"Alr","mature","Pru.vul","Persistent",274
"Alr","mature","Ran.acr","Persistent",95
"Alr","mature","Rhi.min","Persistent",53
"Alr","mature","Rum.ace","Persistent",19
"Alr","mature","Rum.acl","Persistent",102
"Alr","mature","Sag.sp","Transient",3
"Alr","mature","Sil.vul","Persistent",39
"Alr","mature","sp","Persistent",7
"Alr","mature","Ste.gra","Transient",2
"Alr","mature","Tar.sp","Persistent",50
"Alr","mature","Tri.med","Transient",4
"Alr","mature","Tri.pra","Persistent",134
"Alr","mature","Tri.rep","Persistent",333
"Alr","mature","Ver.cha","Persistent",7
"Alr","mature","Ver.off","Persistent",197
"Alr","mature","Ver.ser","Persistent",61
"Alr","mature","Vic.cra","Persistent",17
"Alr","mature","Vio.riv","Persistent",108
"Alr","mature","Vio.tri","Persistent",18
"Alr","rain","Agr.cap","Persistent",47
"Alr","rain","Ant.odo","Persistent",9
"Alr","rain","Bis.viv","Persistent",23
"Alr","rain","Cer.fon","Persistent",5
"Alr","rain","Des.ces","Persistent",3
"Alr","rain","Eup.sp","Persistent",35
"Alr","rain","Hie.pil","Persistent",104
"Alr","rain","Kna.arv","Persistent",1
"Alr","rain","Leo.aut","Persistent",550
"Alr","rain","Lot.cor","Persistent",2
"Alr","rain","Poa.pra","Persistent",38
"Alr","rain","Pru.vul","Persistent",25
"Alr","rain","Ran.acr","Persistent",57
"Alr","rain","Rhi.min","Persistent",13
"Alr","rain","Rum.ace","Persistent",1
"Alr","rain","Sil.vul","Persistent",1
"Alr","rain","Tar.sp","Persistent",18
"Alr","rain","Tri.pra","Persistent",23
"Alr","rain","Tri.rep","Persistent",7
